,Unnamed: 0.1,Unnamed: 0,Review,Rating
53,53,53,Satisfied with laptop. Performance is good. Problems came like Flickering screen and search options not worked when upgraded to windows 11 so I reverted back to 10. So better don't upgrade to windows 11 now wait for some more days.,satisfi laptop perform good problem came like flicker screen search option work upgrad window  revert back  better dont upgrad window  wait day
54,54,54,Thanks flipkart for the wonderful deal. Fully satisfied as of now right from timely delivery and performance.,thank flipkart wonder deal fulli satisfi right time deliveri perform
55,55,55,"Performance: Today is first day so as per performance level no issue. I am using 10-15 tab in google chrome daily basis. Battery: As per company claim 10 hours. This is only for light users. If you use movie & music then may be. Design: decent design. Display: As per price range best display. Value for money: Yes this is value for money. Today this price 39,990 but it was 37,990 while ordered this one. But i got offer in Rs. 32,490 in sale time. I will submit after some days with proper ...",perform today first day per perform level issu use  tab googl chrome daili basi batteri per compani claim  hour light user use movi  music may design decent design display per price rang best display valu money yes valu money today price   order one got offer rs  sale time submit day proper 
56,56,56,Everything is better than other laptops of this range of price but there is only one thing is missing which the Numericals Pad. Overall performance is good. Good for using software like AutoCAD.,everyth better laptop rang price one thing miss numer pad overal perform good good use softwar like autocad
57,57,57,Best part is design and build quality. Battery backup is superb only one problem is display is not good very bad viewing angles.,best part design build qualiti batteri backup superb one problem display good bad view angl
58,58,58,Awesome.,awesom
59,59,59,I wrote this review after the use of  45 days. I never saw a lack in this laptop and the sound quality is also good. Not heating I thought this price range recommend. Thanks for reading my review.,wrote review use   day never saw lack laptop sound qualiti also good heat thought price rang recommend thank read review
60,60,60,nyc laptop,nyc laptop
61,61,61,"Bought it for Trading Purpose.Except for the screen and sound quality, everything working fine, Updated to Window 11, no issues yet. Handles all the task easily. 11th gen processor 🔥",bought trade purposeexcept screen sound qualiti everyth work fine updat window  issu yet handl task easili  gen processor 🔥
62,62,62,Overall good 👍,overal good 👍
63,63,63,Good product,good product
64,64,64,This price range it’s super…..,price rang it super…
65,65,65,Very bad experience,bad experi
66,66,66,Laptop is amazing and sleek. Good for day-to-day use.SSD really helps in boosting the performance however do buy a laptop stand as it may heat up otherwise.Boots-up in around 30 secs. Windows 11 licensed is pre-installed. Works smoothly for not so heavy users.,laptop amaz sleek good daytoday usessd realli help boost perform howev buy laptop stand may heat otherwisebootsup around  sec window  licens preinstal work smooth heavi user
67,67,67,Nyce product,nyce product
68,68,68,Excellent,excel
69,69,69,Nice one,nice one
70,70,70,Good  performing laptopBut less port option Doesn't have rj45 and type c portAnd display isn't bright enough,good  perform laptopbut less port option doesnt  type c portand display isnt bright enough
71,71,71,Awesome.I edited my review after 10 days of using.Performance DisplayBatterySsdHdd....... everything is mind blowing...,awesomei edit review  day usingperform displaybatteryssdhdd everyth mind blow
72,72,72,Nice product,nice product
73,73,73,Laptop display is perfect & fastly moved in precess but late for deliver.Best budget laptop for coding dell Inspiron 3511 256sdd/1TB hdd:-42490/-Value for Money 💰.Battery is normal 4to5 hrs.,laptop display perfect  fast move precess late deliverbest budget laptop code dell inspiron    money 💰batteri normal  hrs
74,74,74,Better option,better option
75,75,75,Brilliant Laptop 😍,brilliant laptop 😍
76,76,76,This is thing I want to be...It s worked suprb fast due to ssd Value for money really worth it,thing want beit work suprb fast due ssd valu money realli worth
77,77,77,"I writing review for this product after same day used. It's really good laptop for all purposes.. attractive design, good performance etc..On time delivery.. thank you flipkart..😊😊",write review product day use realli good laptop purpos attract design good perform etcon time deliveri thank flipkart😊😊
78,78,78,"Good experience...its better use for office, home and good gaming experience... Go for it",good experienceit better use offic home good game experi go
79,79,79,It's a very good choice in this price range .nice display .and light weight . It also contain ms office lifetime free version .best choice for students and office works .ryzen3 perfomes well and with 256 SSD boots faster .I really like the product,good choic price rang nice display light weight  also contain ms offic lifetim free version best choic student offic work  perfom well  ssd boot faster realli like product
80,80,80,Such a nice laptop. In my opinion it's the best one. Happy to have this as my first pc.,nice laptop opinion best one happi first pc
81,81,81,V.good  🤞🏻,vgood  🤞🏻
82,82,82,Not bad,bad
83,83,83,Speakers are completely not working well.worst product please don't sold the product.my experience you'll definitely help.please don't sold,speaker complet work wellworst product pleas dont sold productmi experi youll definit helppleas dont sold
84,84,84,Start Hanging within a week,start hang within week
85,85,85,Great product... happy with the purchase,great product happi purchas
86,86,86,Great Product and best for Productivity and Professional use only. Note for new Buyers: This is a 13.3in WQXGA display. Mentioned 15in is wrong. So buy at your own risk.,great product best product profession use note new buyer  wqxga display mention  wrong buy risk
87,87,87,Best in  small segment ....Portable and powerful,best  small segment portabl power
88,88,88,"Here is my review on this laptop after using for 2 weeks.I've heard that this laptop heats up really quickly, but I didn't felt any thing like that. This laptop never reaches more than 10 degrees above my room temperature, even after I game on it for 4 hours. This can run mostly all games on high setting with 60 fps. I personally have tried 2 games on it valorant and apex legends both runs on high setting with 60 fps. And even this gives me 60 fps with high settings while recording in Valor...",review laptop use  weeksiv heard laptop heat realli quick didnt felt thing like laptop never reach  degre room temperatur even game  hour run most game high set  fps person tri  game valor apex legend run high set  fps even give  fps high set record valor
89,89,89,"Good Product, I am satisfied all of the features, except battery life, It is very awesome product, wheather have a little bits of improvement in battery life time.",good product satisfi featur except batteri life awesom product wheather littl bit improv batteri life time
90,90,90,Performance is good as I expect in this price segment they giving intel i5 10gen with 4gb nvidia 1650  there are no issue with normal use like surfing  web and it can handle some heavy application like matlab etc it's good for coding etc. If you are a heavy gamer this will not satisfy you but it suits for entry level and lite gamers. Worst battery back up it stands for 2 hours in normal usage and in heavy usage it will stands max 1 hours. But it's a value for money laptop and in this price se...,perform good expect price segment give intel    nvidia   issu normal use like surf  web handl heavi applic like matlab etc good code etc heavi gamer satisfi suit entri level lite gamer worst batteri back stand  hour normal usag heavi usag stand max  hour valu money laptop price se
91,91,91,"Posting this review after 8 days of usePros: Value for money          Graphics card can handle some good application          and softwares and games( far cry 5, batman Arkham          Knight) gonna install more after couple of days.          Display is good           Keyboard is good          Battery life is also good as of yet 😅Cons: Gets heated up really quick while gaming plus                     real hot 🔥           Speaker is average Overall in this price segment this lapt...",post review  day usepro valu money          graphic card handl good applic          softwar game far cri  batman arkham          knight gonna instal coupl day          display good           keyboard good          batteri life also good yet 😅con get heat realli quick game plus                     real hot 🔥           speaker averag overal price segment lapt
92,92,92,"So basically, laptop is well and good. But the huge and huge and huge problem is battery. Battery is drains so fast that you can't imagine, and trust me those who personally use this laptop can say same, and second worst part about this laptop is it's speakers, seriously your mobile phone can play better sound than this laptop. Pros - 1. Laptop performance is good (4.5) 2. Laptop display is just ok (4) 3. You will get fast boot time about 6-8 sec (4.5)  Cons -1. Worst battery (2) 2. ...",basic laptop well good huge huge huge problem batteri batteri drain fast cant imagin trust person use laptop say second worst part laptop speaker serious mobil phone play better sound laptop pros   laptop perform good   laptop display ok   get fast boot time  sec   con  worst batteri   
93,93,93,"Best deal in this budget 👌, boot in just fraction of seconds, really very very fast, performance wise it's best in segment, N-Vidia Graphics card along with 512ssd, makes ideal for gaming & other hevy tasks, only drawback is battery but we should understand that gaming laptop consume more power, rest of the things you will enjoy for sure. What I wants in a laptop it has all.",best deal budget 👌 boot fraction second realli fast perform wise best segment nvidia graphic card along  make ideal game  hevi task drawback batteri understand game laptop consum power rest thing enjoy sure want laptop
94,94,94,"Value for Money!  Amazing Laptop I got!  It has mind blowing perfomance, It takes only 8 - 9 sec to boot ! Build Quality is also good...design is excellent ! It is completly made up of plastic but...build quality feels like it has mettalic body ! This is a quick review !",valu money  amaz laptop got  mind blow perfom take    sec boot  build qualiti also gooddesign excel  complet made plastic butbuild qualiti feel like mettal bodi  quick review 
95,95,95,Total good laptop,total good laptop
96,96,96,Amazing laptop. It has a premium and professional look with powerful hardware. Sound is a bit low but I bought external speakers for that so no problem. Everything else about the laptop easily makes up for that. Thanks alot Flipkart for the fast and safe delivery,amaz laptop premium profession look power hardwar sound bit low bought extern speaker problem everyth els laptop easili make thank alot flipkart fast safe deliveri
97,97,97,A very nice laptop with good display . Also very well performed in day to day activities as well as gaming.Definitely worth for money.  Buy it!!!,nice laptop good display  also well perform day day activ well gamingdefinit worth money  buy
98,98,98,GOOD,good
99,99,99,I was confused between asus and lenovo s145 laptop but chose go with this laptop because of build quality.Lenovo s145 feels quite flimsy while asus is reinforced with metal plates under the keyboard and in side supports of screen.4gb ram and ryzen 3250u is good for everyday uses and light office work like browsing with5-6 tab oepn in chrome and 2-3 office files and for heavy uses there option to increase ram capacity.Ssd read speeds are quite fast 950mb/s and write speed upto 350mb/s th...,confus asus lenovo  laptop chose go laptop build qualitylenovo  feel quit flimsi asus reinforc metal plate keyboard side support  ram ryzen  good everyday use light offic work like brows  tab oepn chrome  offic file heavi use option increas ram capacityssd read speed quit fast  write speed upto  th
100,100,100,"Absolutely great product. Beautiful design, the ips level display.... Absolutely stunning. Packaging was secure too.Now lets come to the performance. The SSD inside it gives the performance a big boost. 4 gigs of ram is sufficient for light multitasking (I'll add 4gigs of ram later). The laptop boots up in just 6-7 sec, and there's no lag in app opening and closing.Battery performance is good I'd say. I was typing a document in MS word, and the laptop only consumed 6% of the battery in 45...",absolut great product beauti design ip level display absolut stun packag secur toonow let come perform ssd insid give perform big boost  gig ram suffici light multitask ill add  ram later laptop boot  sec there lag app open closingbatteri perform good id say type document ms word laptop consum  batteri 
101,101,101,"It's an amazing laptop in this prize segment. Because in this prize we get all types of specifications and aspects... Like it having 256GB SSD drive, FHD display, a allround king processor unit everything is fine.i using this laptop till 8days ago... I think this was my right option.Props:---1.FHD Display ---one of the good IPS LCD display with good resolution capacity2.SSD :--- the maximum boot up time will taken approximately 4second to 6 second3.Ryzen 3 3340U :---- all round an exc...",amaz laptop prize segment prize get type specif aspect like  ssd drive fhd display allround king processor unit everyth finei use laptop till  ago think right  display one good ip lcd display good resolut   maximum boot time taken approxim       round exc
